																																										
General Info																																										
																																										
Run information																																										
593	C02	Unknown	AcetoPhAssay 11/96	1.00847	450.05	245	12																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.552106	450.19	265	12																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.04836	490.05	245	13																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.560881	490.19	265	13																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.08864	530.05	245	14																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.569429	530.19	265	14																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.12835	570.05	245	15																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.577944	570.19	265	15																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.16775	610.05	245	16																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.586288	610.19	265	16																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.20706	650.05	245	17																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.59467	650.19	265	17																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.24779	690.05	245	18																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.603396	690.19	265	18																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.28723	730.05	245	19																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.611874	730.19	265	19																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.32653	770.05	245	20																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.620154	770.19	265	20																																			
593	C02	Unknown	AcetoPhAssay 11/96	1.36581	810.05	245	21																																			
593	C02	Unknown	AcetoPhAssay 11/96	0.628334	810.19	265	21																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.588667	18.5	245	1																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.44941	18.64	265	1																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.631329	58.5	245	2																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.46032	58.63	265	2																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.670091	98.5	245	3																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.469272	98.63	265	3																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.712508	138.5	245	4																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.479211	138.63	265	4																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.756102	178.49	245	5																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.489288	178.63	265	5																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.799331	218.5	245	6																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.499099	218.63	265	6																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.843745	258.5	245	7																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.50951	258.63	265	7																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.887276	298.5	245	8																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.518878	298.63	265	8																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.931345	338.5	245	9																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.528883	338.63	265	9																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.976987	378.5	245	10																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.538755	378.63	265	10																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.02176	418.5	245	11																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.548653	418.63	265	11																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.06658	458.5	245	12																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.558357	458.63	265	12																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.11172	498.5	245	13																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.56844	498.63	265	13																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.15438	538.5	245	14																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.577379	538.64	265	14																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.20052	578.5	245	15																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.587522	578.64	265	15																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.24344	618.5	245	16																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.596687	618.63	265	16																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.2876	658.5	245	17																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.606207	658.63	265	17																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.3308	698.5	245	18																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.615349	698.64	265	18																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.37539	738.5	245	19																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.625001	738.63	265	19																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.41739	778.5	245	20																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.633763	778.64	265	20																																			
593	D02	Unknown	AcetoPhAssay 12/96	1.46014	818.5	245	21																																			
593	D02	Unknown	AcetoPhAssay 12/96	0.642993	818.63	265	21																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.584208	19.71	245	1																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.445179	19.85	265	1																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.625475	59.7	245	2																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.455616	59.84	265	2																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.662688	99.7	245	3																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.464013	99.84	265	3																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.703719	139.7	245	4																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.473507	139.84	265	4																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.745158	179.7	245	5																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.483036	179.84	265	5																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.78547	219.7	245	6																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.491968	219.84	265	6																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.827619	259.7	245	7																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.501409	259.84	265	7																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.869671	299.7	245	8																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.510683	299.84	265	8																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.911918	339.7	245	9																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.520107	339.84	265	9																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.955247	379.7	245	10																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.529462	379.84	265	10																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.9992	419.7	245	11																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.539206	419.84	265	11																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.04286	459.7	245	12																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.548622	459.84	265	12																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.08632	499.7	245	13																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.558127	499.84	265	13																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.12948	539.7	245	14																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.567396	539.84	265	14																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.17267	579.7	245	15																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.576952	579.84	265	15																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.21447	619.7	245	16																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.585859	619.84	265	16																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.25811	659.7	245	17																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.595203	659.84	265	17																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.29897	699.7	245	18																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.603846	699.84	265	18																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.34217	739.7	245	19																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.613209	739.84	265	19																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.38399	779.7	245	20																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.62225	779.84	265	20																																			
593	E02	Unknown	AcetoPhAssay 13/96	1.42592	819.7	245	21																																			
593	E02	Unknown	AcetoPhAssay 13/96	0.630862	819.84	265	21																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.604982	28.15	245	1																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.453571	28.29	265	1																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.645337	68.15	245	2																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.46278	68.29	265	2																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.685824	108.15	245	3																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.472288	108.29	265	3																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.727404	148.15	245	4																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.481763	148.28	265	4																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.768692	188.15	245	5																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.491043	188.28	265	5																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.811414	228.15	245	6																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.500605	228.29	265	6																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.852676	268.15	245	7																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.509547	268.29	265	7																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.894399	308.15	245	8																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.518624	308.29	265	8																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.936745	348.15	245	9																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.527966	348.29	265	9																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.979395	388.15	245	10																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.537125	388.29	265	10																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.02138	428.15	245	11																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.546226	428.29	265	11																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.06351	468.15	245	12																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.5553	468.29	265	12																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.10733	508.15	245	13																																			
